review_number,username,ratings,purchase_date,item_variation,location,text,has_image,subreview_sub 0_category,subreview_sub 0_content,subreview_sub 1_category,subreview_sub 1_content,subreview_sub 2_category,subreview_sub 2_content,original_file,original_review_key,length,word_count,avg_word_length,sentence_count,exclamation_count,question_count,caps_ratio,punctuation_ratio,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,malaysian_terms_count,malaysian_terms_ratio,product_terms_count,product_terms_ratio,has_mixed_language,has_specific_details,has_generic_phrases,has_promotional_language,repeated_words,spelling_errors,fake_score,predicted_label,true_label
7833,kinoczkoko,4,2022-11-29 12:12:00,"Variation: red,90*100 (M)",,Harga yg diberi tidak termasuk foam bead tu ya... Harus hati2 ya para pembeli yang budiman,False,Material, ok la,Functionality, bole la,,,results5.json,review 1847,90,17,4.411764705882353,2,0,0,0.0,0.03333333333333333,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,1,1,0.0,real,real
7930,adilazaas,5,2022-08-30 14:44:00,"Variation: gray,110x130cm (XL)",,Received it well. Well functioned too :D,True,Material, XL grey,,,,,results5.json,review 1944,40,9,3.7777777777777777,2,0,0,0.0,0.05,0.7579,0.652,0.0,0.348,0,0.0,0,0.0,False,False,False,False,1,0,0.1,real,real
10740,s*****7,5,2024-10-30 13:06:00,Variation: green,,Received the brush in good condition.. thank you,True,,,,,,,results6.json,review 1748,48,9,4.555555555555555,2,0,0,0.0,0.041666666666666664,0.6597,0.474,0.0,0.526,0,0.0,0,0.0,False,False,False,False,0,0,0.1,real,real
422,a*****5,5,2024-08-30 09:56:00,,Indonesia,"I really like the skirt, it matches the photo and it's cute when I wear it",True,,,,,,,results2.json,review 329,74,18,3.2777777777777777,1,0,0,0.0,0.013513513513513514,0.6997,0.326,0.0,0.674,0,0.0,0,0.0,False,False,False,False,4,0,0.0,real,real
7538,f*****3,5,2023-08-27 18:23:00,"Variation: brownness,110x130cm (XL)",,Barang dalam keadaan yang baik. Harga berpatutan dan penghantaran pantas.,True,,,,,,,results5.json,review 1552,73,12,5.333333333333333,3,0,0,0.0,0.0273972602739726,0.0,0.0,0.0,1.0,1,0.08333333333333333,0,0.0,False,False,False,False,1,0,0.05000000000000002,real,real
12088,micakucha,5,2024-09-10 10:04:00,Variation: Stew,,"beli 3 item tapi lagi dua dah makan HAHAHA taksmpat nak review , smpai ii trus buat … ape ii pon thnkyou seller 👍🏻 packaging pon okay",True,Quality, good,Taste, delicious,,,results7.json,review 90,133,27,3.962962962962963,1,0,0,0.0,0.007518796992481203,0.6705,0.2,0.0,0.8,3,0.1111111111111111,2,0.07407407407407407,False,True,False,False,2,0,0.0,real,real
7944,intankmrdn,5,2023-12-04 15:59:00,"Variation: Khaki,90*100 (M)",,Saya ingt siap isi rupanya sarung ni kena beli asing hawau tergantung sepi la dia dkt situ nnt la free bru beli skrng tk free lagi,True,Functionality, mantap,Material, jenis cotton,,,results5.json,review 1958,130,26,4.038461538461538,1,0,0,0.0,0.0,0.765,0.216,0.0,0.784,3,0.11538461538461539,0,0.0,False,False,False,False,3,0,0.0,real,real
11030,nrncaa,5,2025-06-30 08:25:00,Variation: Pink,,"barang okay, siapa jenis ada kulit kepala cepat gatal, boleh beli yang ni😍 delivery slow sebab saya guna sea shipping, tp kalau jenis nak dapat awal jangan pakai sea shipping ye😇",True,,,,,,,results6.json,review 2038,178,34,4.352941176470588,1,0,0,0.0,0.016853932584269662,0.2263,0.06,0.0,0.94,4,0.11764705882352941,1,0.029411764705882353,False,False,False,False,5,0,0.0,real,real
6733,arielcroxx,5,2021-09-23 00:55:00,"Variation: gray,110x130cm (XL)",,Received early than expected date..worth to wait and the item is so good. Thanks seller,True,,,,,,,results5.json,review 747,87,18,4.055555555555555,3,0,0,0.0,0.034482758620689655,0.7857,0.347,0.0,0.653,0,0.0,1,0.05555555555555555,False,False,False,False,0,0,0.0,real,real
3231,e*****i,5,2025-03-18 14:44:00,Variation: Blue 10000mAh,,fast dilivery,True,,,,,,,results3.json,review 1707,13,2,6.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,0,0,0.45000000000000007,real,real
4631,y*****1,4,2025-07-04 23:06:00,Variation: blue-199speed,,I recommend to others and it's good speed fans,False,Durability, Quick,Performance, Speed,,,results4.json,review 581,46,10,3.8,1,0,0,0.0,0.0,0.6597,0.474,0.0,0.526,0,0.0,0,0.0,False,False,False,False,0,0,0.0,real,real
6524,beauty_rainbow,4,2023-12-15 19:31:00,"Variation: Inner Bag,110x130cm (XL)",,Terima barang dalam keadaan baik dan tiada koyak atau rosak. Terimakasih seller.,True,Material, GOOD,Functionality, GOOD,,,results5.json,review 538,80,14,4.928571428571429,3,0,0,0.0,0.025,0.0,0.0,0.0,1.0,2,0.14285714285714285,1,0.07142857142857142,False,False,False,False,1,0,0.0,real,real
5504,hanaahmadgytyy,5,2025-05-09 19:22:00,Variation: Grey-150speed,,Penghantaran cepat..fungsi dengan baik...,True,,,,,,,results4.json,review 1454,41,7,5.428571428571429,3,0,0,0.0,0.12195121951219512,0.0,0.0,0.0,1.0,2,0.2857142857142857,0,0.0,False,False,False,False,0,0,0.15000000000000002,real,real
12671,h*****r,5,2021-06-09 19:15:00,Variation: Cheese,,"Ramen sebenarnya dah habis. Baru nak review. Tapi mantap la. Ramen rasa macam kat kedai. Mantap siaa aku masak. Btw packaging seller boekk. Kotak takda kemek, ramen tak pecah. Bagus abang delivery ni grrrr",True,,,,,,,results7.json,review 673,205,42,4.095238095238095,8,0,0,0.0,0.03902439024390244,0.0,0.0,0.0,1.0,6,0.14285714285714285,3,0.07142857142857142,False,True,False,False,9,0,0.0,real,real
7854,jpe3435,1,2023-05-26 00:54:00,"Variation: black,90*100 (M)",,"Barang tak dapat , suruh seller contact courier tapi tak dilayan .",True,Material, tak bagus,Functionality, tak boleh pakai,,,results5.json,review 1868,66,12,4.583333333333333,2,0,0,0.0,0.030303030303030304,0.0,0.0,0.0,1.0,3,0.25,1,0.08333333333333333,False,False,False,False,1,0,8.326672684688674e-17,real,real
5185,a*****0,5,2025-03-24 16:19:00,Variation: Pink-Basic,,beli utk anak darjah 1 😁,True,,,,,,,results4.json,review 1135,24,6,3.1666666666666665,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16666666666666666,0,0.0,False,False,False,False,0,0,0.05000000000000002,real,real
13565,h*****h,5,2022-07-01 06:12:00,Variation: Carbonara,,"terbaik seller ni, banyak kali dah repeat order ni. ramen kat sini paling murah and semestinya halal. thanks seller and shopee",True,,,,,,,results7.json,review 1567,126,24,4.416666666666667,3,0,0,0.0,0.023809523809523808,0.4404,0.127,0.0,0.873,3,0.125,2,0.08333333333333333,True,True,False,False,4,0,0.0,real,real
7023,rex2511,5,2022-08-13 15:48:00,"Variation: gray,110x130cm (XL)",,good product quality good value for money fast delivery tq seller,True,,,,,,,results5.json,review 1037,65,11,5.0,1,0,0,0.0,0.0,0.802,0.506,0.0,0.494,0,0.0,4,0.36363636363636365,False,True,False,False,1,0,0.0,real,real
9194,i*****i,5,2024-12-02 23:56:00,Variation: green,,Very good to use for the head sculpt. Our head feel good after use it😁,True,Effectiveness, good,Material, good,,,results6.json,review 202,70,16,3.5,2,0,0,0.0,0.014285714285714285,0.7496,0.329,0.0,0.671,0,0.0,0,0.0,False,False,False,False,3,0,0.0,real,real
6854,l*****y,5,2024-07-11 23:22:00,"Variation: brownness,110x130cm (XL)",,"Barang sampai dengan baik, barang di shipped pun cepat, terbaikkk, colour brown cantik, nice",True,Functionality, Function terok,Material, Tebal dan tahan lasak,,,results5.json,review 868,92,18,4.388888888888889,1,0,0,0.0,0.043478260869565216,0.4215,0.177,0.0,0.823,5,0.2777777777777778,0,0.0,False,False,False,False,4,0,0.0,real,real
9258,k*****i,5,2024-10-01 14:54:00,Variation: purple,,"Berbaloi sgt beli ok sangat
Harga murah
Kualiti ok je
Nanti repeat lagi",True,,,,,,,results6.json,review 266,71,13,4.538461538461538,1,0,0,0.0,0.0,0.5267,0.286,0.0,0.714,5,0.38461538461538464,0,0.0,False,False,False,False,1,0,0.0,real,real
13073,f*****3,5,2022-02-06 19:23:00,Variation: Kimchi (Soup),,heheheheheheh murah jimat and cepat je sampai,True,Taste, sedapla gais,Quality, 100000,,,results7.json,review 1075,45,7,5.571428571428571,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.42857142857142855,0,0.0,False,False,False,False,0,0,0.0,real,real
13552,a*****h,5,2024-07-11 18:37:00,Variation: Carbonara,,"Seller postout laju, ramen semua ada tanda halal terbaik",True,Quality, good,Taste, good,,,results7.json,review 1554,56,10,4.8,1,0,0,0.0,0.017857142857142856,0.0,0.0,0.0,1.0,0,0.0,1,0.1,False,False,False,False,0,0,0.25,real,real
12703,colourfulhq,5,2019-12-08 10:42:00,Variation: Cheese,,"Very good good excellent service and good quality with the affortable price. Fail in love with this product. Of course, will repeat repeat and again from the this seller. Thank you! ",True,,,,,,,results7.json,review 705,182,36,4.194444444444445,5,1,0,0.0,0.027472527472527472,0.9519,0.427,0.073,0.5,0,0.0,4,0.1111111111111111,False,True,False,False,9,0,0.0,real,real
9356,sweetlee1235,5,2024-10-28 18:29:00,Variation: Pink,,Good fast delivery Excellent service by seller Good product quality,True,,,,,,,results6.json,review 364,67,10,5.8,1,0,0,0.0,0.0,0.8591,0.576,0.0,0.424,0,0.0,4,0.4,False,True,False,False,1,0,0.0,real,real
489,l*****_,5,2025-05-16 12:57:00,,Indonesia,"Like pollll. really like it more 
You have to buy it. This looks so elegant, especially the top is a bit cropped. suitable",True,,,,,,,results2.json,review 396,122,27,3.6666666666666665,4,0,0,0.0,0.03278688524590164,0.877,0.381,0.0,0.619,0,0.0,0,0.0,False,False,False,False,4,0,0.0,real,real
3456,asb7927,5,2025-06-16 22:52:00,Variation: Grey 10000mAh,,"Easy handling, magnet power can hold Phone very tight
Black premium",True,Durability, tough,Performance, good,,,results3.json,review 1932,67,12,4.75,1,0,0,0.0,0.014925373134328358,0.4404,0.225,0.0,0.775,1,0.08333333333333333,0,0.0,False,False,False,False,0,0,0.0,real,real
11614,saifulsautar,5,2025-02-05 20:04:00,Variation: Pink,,Boleh guna time shampoo rambut,False,,,,,,,results6.json,review 2622,30,5,5.2,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,0,0,0.15000000000000002,real,real
2300,g*****1,4,2024-11-12 14:20:00,Variation: Grey 10000mAh,,Wireless working  but input current very slow...Phone easily get hot...not recommended for the person who very care the health of battery,True,Performance, Wireless lambat giller,,,,,results3.json,review 776,137,25,4.64,3,0,0,0.0,0.043795620437956206,0.8874,0.367,0.0,0.633,0,0.0,1,0.04,False,False,False,False,3,0,0.0,real,real
12701,v*****a,4,2024-03-21 14:38:00,Variation: Carbonara,,Maaf gambar takde kaitan. Barang dah sampai lama cuma baru nak nilai hehehehehehhehehehe. Produk yang diterima sangat baik . Terima kasih seller . Moga kita semua dimurahkan rezeki selalu .,True,Taste, sedap,Quality, baik,,,results7.json,review 703,189,32,5.0,6,0,0,0.0,0.026455026455026454,0.0,0.0,0.0,1.0,3,0.09375,1,0.03125,False,False,False,False,4,0,0.0,real,real
3595,shibod,5,2024-03-23 17:10:00,Variation: White 5000mAh,,"Fast charging. Refer to your phone, mine ip13 it take 2 time *not full. Tq seller.",True,Performance, ok,Durability, ok,,,results3.json,review 2071,82,21,3.1904761904761907,4,0,0,0.0,0.04878048780487805,0.0,0.0,0.0,1.0,0,0.0,1,0.047619047619047616,False,False,False,False,2,1,0.15000000000000002,real,real
9680,intanilla,5,2024-10-03 11:37:00,Variation: purple,,Wahh rasa betul betul puas hati jalau syampu gunakan benda ni. Sangat bestttt! Murah pulak tu!! Sila beli gais!,True,Effectiveness, nice,Material, nice,,,results6.json,review 688,111,24,3.875,5,4,0,0.0,0.04504504504504504,0.0,0.0,0.0,1.0,2,0.08333333333333333,0,0.0,False,False,False,False,4,0,0.0,real,real
12882,muhammadsyimirfirdaus,5,2024-08-02 15:42:00,Variation: Spicy,,"dah selalu dah beli dari kedai ni. cumanya kalini kurier lambat gila hantar barang, nak dekat seminggu",True,Quality, good,Taste, nice,,,results7.json,review 884,102,19,4.526315789473684,2,0,0,0.0,0.0196078431372549,0.0,0.0,0.0,1.0,4,0.21052631578947367,0,0.0,False,False,False,False,1,0,0.0,real,real
5682,xmxrxplxkk,5,2025-04-15 13:08:00,Variation: Platinum-150speed,,packaging 5/10,True,Durability, 8/10,Performance, 8/10,,,results4.json,review 1632,14,2,6.5,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1,0.5,False,False,False,False,0,1,0.45000000000000007,real,real
9505,yahyahyah666,5,2024-10-21 12:24:00,Variation: Pink,,"Best feeling waktu guna,
Alhamdulillah dapat grab waktu harga murah 
Thank you seller",True,Material, plastic n Rubber,Effectiveness, 10/10,,,results6.json,review 513,85,14,5.142857142857143,1,0,0,0.0,0.011764705882352941,0.802,0.451,0.0,0.549,3,0.21428571428571427,1,0.07142857142857142,False,False,False,False,1,0,0.0,real,real
9011,a*****n,5,2024-09-19 01:03:00,Variation: purple,,"Not bad.. Material lembut, mmg sesuai utk cci rmbt sbb tdk tajam & tdk sakit. Rasa sdp la urut kulit kpla guna ni. Wrna pun ctk, murah lg 🫰",True,,,,,,,results6.json,review 19,139,34,3.264705882352941,4,0,0,0.0,0.04316546762589928,0.0,0.0,0.0,1.0,2,0.058823529411764705,1,0.029411764705882353,False,False,False,False,3,0,0.0,real,real
4811,603l1bjtv_,5,2025-06-11 18:28:00,Variation: Orange-150speed,,"barang sampai dalam keadaan baik..penghantaran cepat
terbaik seller",True,,,,,,,results4.json,review 761,67,10,6.0,2,0,0,0.0,0.029850746268656716,0.0,0.0,0.0,1.0,3,0.3,1,0.1,False,False,False,False,0,0,8.326672684688674e-17,real,real
14270,q*****q,5,2024-12-28 08:08:00,Variation: Quattro Cheese,,"Arrive in a good condition.
Will buy it again.",True,Taste, g.o.o.d,Quality, o.k.a.y,,,results7.json,review 2272,46,11,3.4545454545454546,3,0,0,0.0,0.043478260869565216,0.4404,0.293,0.0,0.707,0,0.0,0,0.0,False,False,False,False,1,0,0.1,real,real
14454,batukapur92,5,2022-11-15 21:18:00,Variation: Chacharoni,,Murah n secure packaging.... Penghantaran pantas n tak sabo nk makang,True,,,,,,,results7.json,review 2456,69,12,4.916666666666667,2,0,0,0.0,0.057971014492753624,0.34,0.231,0.0,0.769,2,0.16666666666666666,1,0.08333333333333333,False,False,False,False,1,1,0.0,real,real
13994,a*****0,5,2022-11-23 17:55:00,Variation: Carbonara,,"Thank you seller fast delivery 🚚
Great service 
Will repeat again ❤️❤️❤️☺️",True,Taste, great,Quality, 10/10,,,results7.json,review 1996,74,12,5.166666666666667,1,0,0,0.0,0.0,0.765,0.423,0.0,0.577,0,0.0,3,0.25,False,True,False,False,0,1,0.0,real,real
8173,s*****6,5,2023-12-06 08:08:00,"Variation: flax brown,90*100 (M)",,Dapat kain je.. rupanya inner (kabus putih dalam) tu asing.. inner lagi murah dpd kain.. tapi beli ada promo n free delivery ok la.. 2x kena submit order dah..,True,Material, flax brown,,,,,results5.json,review 2187,159,36,3.638888888888889,6,0,0,0.0,0.06289308176100629,0.6705,0.175,0.0,0.825,5,0.1388888888888889,1,0.027777777777777776,False,False,False,False,6,0,0.0,real,real
14716,h*****a,5,2020-12-31 16:26:00,Variation: Carbonara,,Fast delivery...nice products i love it 😍 thank you seller..,True,,,,,,,results7.json,review 2718,60,13,3.923076923076923,3,0,0,0.0,0.08333333333333333,0.7717,0.528,0.0,0.472,1,0.07692307692307693,2,0.15384615384615385,False,True,False,False,0,0,0.0,real,real
5165,k_rulnizam,5,2025-03-15 08:56:00,Variation: Platinum-120speed,,Barang sudah sampai. Terima kasih seller. Memang terbaik👍👍👍,True,,,,,,,results4.json,review 1115,59,10,5.2,3,0,0,0.0,0.03389830508474576,0.0,0.0,0.0,1.0,1,0.1,1,0.1,False,False,False,False,1,1,0.05000000000000002,real,real
14081,,5,2022-07-06 13:48:00,Variation: Carbonara,,Barang dah smpai cara bungkus pn ok x de sbrng rosak 👌🏻thanks seller mmg trbaik la,True,Taste, sdap😍,Quality, terbaik,,,results7.json,review 2083,82,16,4.1875,1,0,0,0.0,0.0,0.296,0.136,0.0,0.864,4,0.25,1,0.0625,False,False,False,False,0,1,0.0,real,real
11450,s*****1,5,2025-04-06 20:55:00,Variation: Purple,,Lembut..x keras..,True,,,,,,,results6.json,review 2458,17,5,3.2,3,0,0,0.0,0.23529411764705882,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,1,0,0.35,real,real
13935,a*****i,5,2020-10-12 18:13:00,,,Thank you seller for prompt delivery despite 10.10 sales and for the perfect wrapped too ❤️,True,,,,,,,results7.json,review 1937,91,16,4.75,2,0,0,0.0,0.01098901098901099,0.7351,0.307,0.0,0.693,0,0.0,2,0.125,False,True,False,True,1,1,0.15,real,real
4610,a*****e,5,2025-05-06 07:57:00,Variation: White-199speed,,"sedih, oder warna putih tp dapat warna hitam, baru guna sehari dah keluarka bunyi bising, sekarrang dah x guna sbb tiba2 makin kuat bunyi.",False,,,,,,,results4.json,review 560,138,28,4.107142857142857,2,0,0,0.0,0.028985507246376812,0.0,0.0,0.0,1.0,3,0.10714285714285714,0,0.0,False,False,False,False,6,1,0.0,real,real
72,a*****n,5,2025-06-15 19:41:00,Variation: Champaign,,Memanf peminat soundcore dari dulu. Padu. Tidak tukar brand la. Overall nice. Packaging pn baik. Performance ? Superb. Thanks,True,Quality, excellent,Performance, superb,,,results1.json,review 72,125,25,4.28,8,0,1,0.0,0.056,0.8689,0.395,0.0,0.605,3,0.12,2,0.08,True,True,False,False,5,0,0.0,real,real
2258,junjunang_5508,5,2024-10-07 22:09:00,Variation: Blue 10000mAh,,￼UGREEN Magnetic Wireless 10000mAh PowerBank Charger 10000mAh Powerbank For iPhone 15 14 13 12 Pro Mini,True,Durability, good,Performance, good,,,results3.json,review 734,103,16,5.5,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,True,False,False,False,2,3,0.1,real,real
12849,n*****f,5,2021-08-02 07:52:00,Variation: 2X Spicy,,"Lps order terus ship👍 bungkusan okay, barang yg diorder cukup, i beli coklat xcair👍 barang semua murah ii dari kedai lain. Kedai preferred and will repeat soon❤️ srs talk✋",False,,,,,,,results7.json,review 851,171,32,4.46875,2,0,0,0.0,0.017543859649122806,0.2263,0.066,0.0,0.934,3,0.09375,0,0.0,True,False,False,False,3,4,0.0,real,real
8839,aliaamira24,5,2024-12-01 17:51:00,"Variation: blue,80*90 (M)",,Barang dah sampai tapi kenapa saya tak dpt yang warna putih tu eh saya dpt kain sahaja,True,,,,,,,results5.json,review 2853,86,17,4.117647058823529,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.17647058823529413,0,0.0,False,False,False,False,2,0,0.0,real,real
7271,h*****r,5,2025-01-01 02:07:00,"Variation: gray,110x130cm (XL)",,Barang sampai dengan cepat. Kualiti padan dengan harga.. boleh pakai.. saiz kecik je,True,Functionality, baik,Material, tahan,,,results5.json,review 1285,84,16,4.5,4,0,0,0.0,0.05952380952380952,0.0,0.0,0.0,1.0,2,0.125,0,0.0,False,False,False,False,2,0,0.0,real,real
4122,erravjie,3,2025-04-29 07:25:00,Variation: 100 Speed-Dark Blue,,"Bateri full 100,kali on tidak smpai pun pkai 5 mnit sudah kurang bateri pigi 20..kalau angin dia mmg kuat tp makin kc tinggi level angin dia mkin kuat juga lah bunyi dia..",False,Performance, boleh lah,Durability, okey lah,,,results4.json,review 72,171,37,3.7837837837837838,3,0,0,0.0,0.029239766081871343,0.0,0.0,0.0,1.0,4,0.10810810810810811,0,0.0,False,False,False,False,6,0,0.0,real,real
8058,syabonlmie,5,2021-05-08 15:30:00,"Variation: yellow,110x130cm (XL)",,Barang sampai mengikut spesifikasi yang telah dinyatakan. Terima kasih seller,True,,,,,,,results5.json,review 2072,77,11,6.181818181818182,2,0,0,0.0,0.012987012987012988,0.0,0.0,0.0,1.0,1,0.09090909090909091,1,0.09090909090909091,False,False,False,False,0,0,0.05000000000000002,real,real
4216,j*****6,5,2025-05-10 22:34:00,Variation: Pink-199speed+Head,,"Packaging secure
Angin rasa kuat la jg, tp bunyi kuat n bising skit 🤣🤣
Harga murah..hope btahan lm la",True,,,,,,,results4.json,review 166,101,22,3.772727272727273,2,0,0,0.0,0.0297029702970297,0.34,0.124,0.0,0.876,1,0.045454545454545456,1,0.045454545454545456,False,False,False,False,2,0,0.2,real,real
6297,r*****j,4,2024-09-17 10:03:00,"Variation: Inner Bag,80*90 (M)",,"I expected something but I getting Wrong part order, fast delivery and the service is good",True,,,,,,,results5.json,review 311,90,17,4.411764705882353,1,0,0,0.0,0.011111111111111112,-0.0772,0.192,0.208,0.6,0,0.0,2,0.11764705882352941,False,True,False,False,1,0,0.0,real,real
7692,h*****3,5,2025-04-26 05:09:00,"Variation: Inner Bag,110x130cm (XL)",,Terima kasih seller barang dah sampai dengan selamat semuanya ok,False,Material, ok,Functionality, ok,,,results5.json,review 1706,64,10,5.5,1,0,0,0.0,0.0,0.296,0.196,0.0,0.804,3,0.3,1,0.1,False,False,False,False,0,0,0.0,real,real
10495,nrmunirahhh,5,2024-12-04 10:00:00,Variation: Pink,,Bergunaa boleh laa tahan angin nyeee kena dgn harga .. maaf gmbr tiada kaitan,True,,,,,,,results6.json,review 1503,77,14,4.571428571428571,2,0,0,0.0,0.025974025974025976,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,0,0,0.25,real,real
683,a*****3,5,2025-03-18 05:50:00,,Indonesia,"This is the second skirt I bought here, I don't really regret buying this♥️",True,,,,,,,results2.json,review 590,75,16,3.875,1,0,0,0.0,0.013333333333333334,0.3713,0.188,0.0,0.812,0,0.0,0,0.0,False,False,False,False,1,1,0.2,real,real
6620,b*****4,5,2023-09-10 11:21:00,"Variation: black,90*100 (M)",,kain tebal kat tepi ada poket boleh letak barang kecil sesuai la untuk budak sekali dewasa pon duduk jugak,True,,,,,,,results5.json,review 634,106,19,4.631578947368421,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.05263157894736842,0,0.0,False,False,False,False,0,0,0.0,real,real
6928,aidawatiyyudfjhh,5,2024-01-30 13:47:00,"Variation: yellow,110x130cm (XL)",,Brg smpai ngan baik huhuhuhuhuhu tapi ada bdk pegi hempas badan dia situ kotak sikit belah atas🤣🤣,True,Functionality, good,Material, good kain teball,,,results5.json,review 942,97,17,4.764705882352941,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.11764705882352941,0,0.0,False,False,False,False,0,1,0.0,real,real
10639,mcr4life,5,2024-11-10 00:07:00,Variation: green,,lega pula kepala dah guna hihi even delivery ada delay sedikit. thanks seller,True,,,,,,,results6.json,review 1647,77,14,4.642857142857143,2,0,0,0.0,0.012987012987012988,0.1531,0.179,0.142,0.679,1,0.07142857142857142,2,0.14285714285714285,False,True,False,False,0,0,0.0,real,real
2983,e*****j,5,2025-02-23 13:32:00,Variation: Purple 10000mAh,,UGREEN充电宝容量大，充电速度快，支持多种设备，外观简约大方，手感舒适。续航持久，携带方便，非常适合外出使用。品质可靠，安全稳定，性价比高，是日常必备的好物，强烈推荐！,True,,,,,,,results3.json,review 1459,86,1,86.0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,0,1,0.45000000000000007,real,real
