review_number,username,ratings,purchase_date,item_variation,location,review_content,has_image,subreview_sub 0_category,subreview_sub 0_content,subreview_sub 1_category,subreview_sub 1_content,subreview_sub 2_category,subreview_sub 2_content,original_file,original_review_key
11,j*****8,4,2025-06-22 20:57,Variation: Champaign,,"Good product , but you page clearly stipulated 18 months warranty but your customer service (chat)claims it’s only 12 months warranty??  Another platform official shop written 24 months warranty? Some countries like Asia countries (Jon,etc), if registered the product online can get additional 6 months warranty…

Very misleading indeed ..?",False,Quality, great,Performance, great,,,results1.json,review 11
12,n*****i,5,2025-06-09 12:44,Variation: Blue,,The noise cancellation are more better than my airpod pro. The design pretty and comfortable when you wear it. It had 5 extra eartip from xxs to xl.,False,Quality, great quality,Performance, im very impress with noise cancellation. It feel like it block the outside sound from enter in my ear.,,,results1.json,review 12
13,amin_rmy,5,2025-06-03 14:22,Variation: Black,,"Only issue was that the box seemed a bit damaged and also that the top seal looked like it was already opened. Reference to the picture which shows the damage and the top seal already opened.  

I was quite concerned earlier. But, after trying the earbuds I was really satisfied with it. ",True,Performance, Wonderful and loving this Liberty 5.,Quality, I am very satisfied with the product.,,,results1.json,review 13
14,alif_aizat93,5,2025-07-05 01:51,Variation: White,,Terbaik lah eq …noise cancellation pun padu teruk …atas motor pun tak dgr bunyi sekeliling …jangan tiru aksi itu ya,True,Quality, superb,Performance, sound very nice,,,results1.json,review 14
15,h*****x,5,2025-05-29 08:42,Variation: Champaign,,"Sound superb , anc can say very good and the dolby sound , superbbb 
Thank youu",True,Performance, great,Quality, great,,,results1.json,review 15
16,ellen.tye,5,2025-06-10 19:31,Variation: Apricot,,Product received within the timeframe. Well packed. Connected Liberty 5 with my device. It was all good and functions really well.,True,Quality, Good,,,,,results1.json,review 16
17,danielpuzi,5,2025-06-05 07:24,Variation: White,,"Hope the battery will long last, fast delivery!",True,Performance, superb,Quality, good,,,results1.json,review 17
18,n*****n,5,2025-05-27 21:50,Variation: Champaign,,bought it from my mom for her work stuffs and she loves it. even as a casual listener she appreciates the great quality sound these earbuds delivers,True,Quality, good,Performance, good as expected from soundcore.,,,results1.json,review 18
19,coffee.no.sugar,5,2025-05-26 23:30,Variation: Blue,,"Very fast delivery, sound quality superb, voice clear, noise cancellation very nice, recommend",True,Quality, nice,,,,,results1.json,review 19
20,v*****0,5,2025-06-24 18:26,Variation: White,,"Fast shipping and delivery
Items received in good condition 
Thank you seller",True,Quality, awesome as usual,Performance, superd,,,results1.json,review 20
21,l*****y,5,2025-06-10 17:08,Variation: Black,,You get what you paid for.,True,Quality, Good,Performance," Good, Meet Expectations",,,results1.json,review 21
22,t*****1,5,2025-06-03 17:43,Variation: Apricot,,Item received good condition no damage. The sound system good. I like this item very cheap and functioning,True,Quality, very nice,Performance, working very well,,,results1.json,review 22
23,heric1988,5,2025-06-06 12:46,Variation: Black,,Above average but only the phone call sounds very soft.,True,Performance, I am addicted to the sound bass,Quality, solid and good looking,,,results1.json,review 23
24,sabiq_queen,5,2025-06-03 12:10,Variation: Champaign,,,True,Performance, Great,Quality, The build is sturdy. The quality of audio is great. ANC performs well. Money well spent,,,results1.json,review 24
25,d*****i,1,2025-06-10 17:37,Variation: Black,,"why i give 1 start?because i order 2..the other one is aerofit 2,i buy 2 because i want to try which one is better..but when i received aerofit 2,its not working on the left side earbud,i ask seller to send me a new set but no answer and keep say to wait..then i just do the return..easy..i still wanted to buy the aerofit 2 but not from this seller anymore..bye2..
oh ya..the delivery guy so nice..only the seller not nice..",True,Quality, very good,Performance, so nice,,,results1.json,review 25
26,mimieguerrero88,5,2025-06-10 09:41,Variation: Blue,,Sblm ni pakai jenama sama jgk tapi masuk peluh..beli lagi jenjs ni pulak mmg superb laaa...berbaloi dengan harga,True,Quality, superb,Performance, very good,,,results1.json,review 26
27,jimbotak00,5,2025-06-19 16:37,Variation: Blue,,Barang sampai dengan baik. Bunyi pun okay. Not bad.,True,Quality, Good,Performance, good,,,results1.json,review 27
28,sksaw13,5,2025-06-20 11:31,Variation: Champaign,,Elegant earbud and casing design,True,Performance," easy to connect, user friendly",Quality, good sound quality,,,results1.json,review 28
29,syamirrazalli,2,2025-06-19 18:28,Variation: Champaign,,"Barang ok semua . Dah test semua . Anc yes padu . Transperency pon padu . Audio quality yes padu . Bass boom ! Cuma kepada siapa yg biasa pakai brand yg lagi mahal bole tahu beza dia . Sebab apa 2 star? 1. Courier lembap nk mampus . 2. Seller pon bermasalah . Aku order kaler lain , kau bagi kaler lain . Aduhai . Len kali tgk betol2 seller woii .",True,Quality, kotak ada kemik sikit .,,,,,results1.json,review 29
30,alvinchow123,1,2025-06-10 01:35,Variation: Apricot,,Arrived with damaged box,True,Performance, Arrived with damaged box,Quality, Arrived with damaged box,,,results1.json,review 30
31,a*****i,5,2025-06-04 04:27,Variation: Apricot,,"Sedap bunyi lembut dengar telinga tak sakit dengar , bunyi sedap bass kualiti terbaik anker terbaik rekemen",False,Quality, terbaik,Performance, cemerlang,,,results1.json,review 31
32,dylandylantan,5,2025-06-26 03:54,Variation: White,,"Love the sound quality and design, even better than AirPod 4 if compare with the price.",False,,,,,,,results1.json,review 32
33,j*****7,4,2025-06-19 00:38,Variation: Blue,,Cant use normal eartips else cant go back in the case.,False,Performance, Sound good. ANC working nicely. Mic sound good.,Quality, Good quality product,,,results1.json,review 33
34,h*****i,5,2025-07-07 18:11,Variation: White,,"Good value for money, earbuds offering great sound quality and ANC.",False,,,,,,,results1.json,review 34
35,n*****k,5,2025-06-06 20:17,Variation: White,,,False,Performance, better than razer earphones,Quality, as good as top tier earphones,,,results1.json,review 35
36,afiqzakwanzaidi,5,2025-06-18 10:34,Variation: Blue,,For first time using soundcore product its meet my expectation srsly maybe if you are using liberty 4 nc just use yours lah x payah nk upgrade2 utk few features only.  congrats soundcore i will definitely try other product tq,False,Performance, TipTop Wei Sumpah korang jgn lah ragu,Quality, even better from my jbl,,,results1.json,review 36
37,t3chn0m4nc3r,4,2025-05-25 17:36,Variation: Apricot,,It's decent and sounds good. Just not sure if it's worth the asking price. 😕,False,Performance, Not sure at this price point.,Quality, Mixed feelings about the build quality,,,results1.json,review 37
38,azqilnasa,5,2025-06-05 20:03,Variation: Blue,,,False,Performance, ANC was superb but the transparent mode is bad switching between ANC mode and transparent mode,,,,,results1.json,review 38
39,a*****5,5,2025-06-23 17:38,Variation: Champaign,,Value for money! Come with changeable buds to suit different size of ears.,True,Quality, good quality,,,,,results1.json,review 39
40,f*****_,5,2025-07-07 07:49,Variation: Black,,"Senang cite, produk anker ni memang A la. Tak tahu nak cakap macam mana lagi, da bole dikatakan perfect 👍",True,Quality, A,Performance, A,,,results1.json,review 40
41,w*****7,5,2025-06-17 14:36,Variation: Apricot,,,True,Quality," good quality, surprise me this price with this quality, and we have Dolby atmos",,,,,results1.json,review 41
42,mazer6446,5,2025-07-05 14:19,Variation: Blue,,High quality and fantastic sound.,True,,,,,,,results1.json,review 42
43,mohdali799,5,2025-06-03 20:52,Variation: Blue,,Soundcore nya sampai dan keadaan test baik,True,,,,,,,results1.json,review 43
44,a*****l,5,2025-06-04 22:17,Variation: White,,Memang mantap sekali sound dan anc,True,,,,,,,results1.json,review 44
45,w*****o,5,2025-06-19 15:10,Variation: Blue,,Get the authentic product with fast delivery,True,,,,,,,results1.json,review 45
46,bladeofram231111,5,2025-06-09 20:28,Variation: Black,,Anc the great.. Much recommended,False,Quality, Excellent,Performance, Gud performance,,,results1.json,review 46
47,patricketsudo,5,2025-06-11 19:26,Variation: Apricot,,Love it very much,False,Performance, great,Quality, excellent,,,results1.json,review 47
48,muhdfaris55,5,2025-06-16 08:37,Variation: Black,,,False,Quality, superbb really block all assasive noise,Performance, battery really last,,,results1.json,review 48
49,raymondlee8278,5,2025-06-07 12:21,Variation: Black,,,False,Quality, satisfied and above expectation.,Performance, as per advertised.,,,results1.json,review 49
50,u*****z,5,2025-06-08 11:59,Variation: White,,"Dah try pakai dalam plane, memang tak dengau la bunyi enjin dia tu, tapi nak kene adjust la earpad mana yg okay utk keselesaan yg maksimum 🙂‍↕️🦾",True,,,,,,,results1.json,review 50
51,aravindan27,5,2025-05-31 11:05,Variation: Champaign,,"Without a doubt, one of the most impressive true wireless earbuds I've ever used. They offer a winning combination of outstanding sound quality, innovative spatial audio, highly effective noise cancellation, and all-day comfort, all packaged in a premium design. If you're looking for an audio experience that goes beyond mere listening and truly immerses you in your music, the Soundcore Liberty 5 is an absolute must-have. They are a testament to Soundcore's commitment to pushing the boundaries of what's possible in true wireless audio.",False,,,,,,,results1.json,review 51
52,bengweit,5,2025-06-11 00:23,Variation: Black,,功能齐全，anc很好，可能4pro更好，但5更有性价比,True,Performance, 大声，低高音都很好,Quality, 黑色看起来很高级，其他颜色不知道,,,results1.json,review 52
53,seanongkimhong,5,2025-06-29 13:22,Variation: Blue,,Good bass n overall sound.,False,,,,,,,results1.json,review 53
54,saioscar,5,2025-07-03 18:04,Variation: Blue,,sound are very niceee...like it,False,,,,,,,results1.json,review 54
55,sal125,5,2025-06-25 17:25,Variation: Black,,the voice reduction is great and highly effective,False,,,,,,,results1.json,review 55
56,saidonjaafar,5,2025-07-15 12:00,Variation: Champaign,,"ANC good, but not 100%..",False,,,,,,,results1.json,review 56
57,t*****4,5,2025-06-04 20:56,Variation: Champaign,,Much more upgrade from Liberty 4.,True,,,,,,,results1.json,review 57
58,mattfitt,5,2025-06-19 15:22,Variation: Black,,Nice,True,,,,,,,results1.json,review 58
59,vicknesh_96,5,2025-06-02 19:22,Variation: Black,,"Great Earbuds worth for the price. Quality Sound. Much amazed eith soundcore earbuds. Previous earbuds Huawei Earbuds Pro 1... At the moment was finding for a budget earbuds and Thank you Soundcore.ANC is superb, bass is balanced. Waiting for the pro version",True,,,,,,,results1.json,review 59
60,l*****g,4,2025-07-12 20:26,Variation: White,,"Listen to music and movie feel like you're in the cinema absolutely awesome diff kinda of experience from all my previous TWS.

Too bad seller didn't include free case and extra bubble wrap.",True,Performance, Cinema,Quality, Top Notch,,,results1.json,review 60
61,haziqhazrina,5,2025-07-09 21:45,Variation: Black,,,True,Quality, SOLID,Performance," Sgt recommended lagi2 nk tgk Netflix guna Dolby , cuma kalau nk dgr lagu guna Dolby Audio tak brp perform. ANC bagus dlm 80% gitu. To be honest Kalau Taye sound quality lebih kurang sama Ngan R50i NC. Rating ",,,results1.json,review 61
62,engheegoh,5,2025-06-30 15:10,Variation: White,,"The sound is awesome. If you want more customization, download the app",True,Quality, Solid earbuds,,,,,results1.json,review 62
63,e*****l,5,2025-07-14 23:42,Variation: Apricot,,The best earbud so far,True,Performance, beyond expectation,Quality, beyond expectation,,,results1.json,review 63
64,mohdamirbohari,5,2025-07-08 19:02,Variation: Blue,,Wow..i am very impress with the sound quality and noise cancelling. No regrets.,True,,,,,,,results1.json,review 64
65,adamtufayl28,5,2025-07-14 13:50,Variation: Black,,"probably the best earphones ive personally gotten. sound quality feels great, noise cancelling works well enough that i can take the lrt in almost complete silence!",True,Quality, very good,Performance, very good,,,results1.json,review 65
66,muhammadfahmibinmarzuki,5,2025-07-08 22:00,Variation: White,,For me baseus good because gives free item . Maybe next time I would recommend considering a free case ,True,Quality, quite good .,Performance, good. before this I am using baseus m2 . then I change to liberty 5 . for me huge difference,,,results1.json,review 66
67,shahrolh,5,2025-07-15 15:20,Variation: White,,"Works very well on both Samsung and iPhone, using the Soundcore app.",True,,,,,,,results1.json,review 67
68,z*****9,5,2025-06-06 12:56,Variation: Champaign,,"Was owner of Liberty Air 2 Pro and Liberty 4. The Liberty 5 shows total improvement in sound quality, comfort and apps feature from previous owned models.",True,,,,,,,results1.json,review 68
69,g*****h,5,2025-07-11 18:36,Variation: Black,,"The cap on the charging case is very thin, very worry it would break if there's been any accidental bending of it 🤣 but anyways the quality overall is good! ANC system is next level",True,Performance, Sound is real solid,,,,,results1.json,review 69
70,29w2lke5rg,5,2025-07-14 07:09,Variation: Black,,Barang sampai dgn selamat..sounds paduu..thanks seller 👍,True,Quality, Good,Performance, Good,,,results1.json,review 70
71,j*****n,5,2025-07-12 08:46,Variation: White,,"Not gonna lie, sounds just like a top tier earbud brand.",True,Performance, Excellent,Quality, Amazing,,,results1.json,review 71
72,a*****n,5,2025-06-15 19:41,Variation: Champaign,,Memanf peminat soundcore dari dulu. Padu. Tidak tukar brand la. Overall nice. Packaging pn baik. Performance ? Superb. Thanks,True,Quality, excellent,Performance, superb,,,results1.json,review 72
73,uzairzaman,5,2025-06-15 02:59,Variation: Blue,,Warna cantik biru sebam dan quality sound 🔥,True,Performance, padu speaker kuat,Quality, built perfect,,,results1.json,review 73
74,n*****c,5,2025-05-30 20:24,Variation: White,,"Delivery sangat pantas. Stock sound a bit heavy on the bass. I use the sound preference feature on the app, then modify the curve further to my liking. End result is superb. Now I really enjoy the sound. So yes, you can EQ the sound to your liking. The sound may not be as clean as high fidelity IEM, but very good and sufficient for daily listening in office and during commuting. ANC is very effective. I have Jabra Elite 7 Pro and Liberty 5 ANC is superior. Call quality is good. The only gripe is the pinch control. Need to get used to it and know where to pinch. Connection not much diff w BT 5.x.in terms of range. App is feature rich. But coming from Jabra, I just hope the side tone level can be adjusted. For Liberty, if you turn on the call awareness, it means it turn on aware mode at full blast. So a bit distracting for call. I end up turned it off. Overall I am very satisfied with Liberty 5 and recommend it for the price. Oh.. battery life is superb!",True,Performance, Excellent,Quality, Solid build. Pinch control bit finicky,,,results1.json,review 74
75,2*****p,5,2025-06-12 22:27,Variation: Blue,,"Considering the price, the sound quality and noise-canceling function are both excellent. I also love the color—it's beautiful.",True,Quality, Wonderful!,Performance, Wonderful!,,,results1.json,review 75
76,nazmijaafar6767,5,2025-06-02 11:23,Variation: Champaign,,"super bass,pure and clarity sound",True,Performance, outstanding!,Quality, very good,,,results1.json,review 76
77,metalironwood,5,2025-05-30 00:18,Variation: Blue,,"Awesome sound, crisp and the bass (OMG) I love it. ANC works perfectly. Connect to 2 devices , handphone and PC. Install the app on the phone for more control and explore. Wireless charging too.",True,,,,,,,results1.json,review 77
78,r*****l,5,2025-05-27 22:36,Variation: Black,,Well received,False,,,,,,,results1.json,review 78
79,kctung23,5,2025-07-04 09:40,Variation: Champaign,,Highly acceptable,False,,,,,,,results1.json,review 79
80,m*****0,5,2025-07-14 08:06,Variation: Blue,,Ayam berkokok itik mmenguyek,True,,,,,,,results1.json,review 80
81,my3085_69440,5,2025-07-14 12:42,Variation: Blue,,,False,Quality, mantap,,,,,results1.json,review 81
82,a*****i,5,2025-07-13 21:06,Variation: Black,,Tak menyesal beli. Memang best,False,,,,,,,results1.json,review 82
83,haniframali,5,2025-07-09 19:50,Variation: Black,,,False,Performance, mantap dpt 255,,,,,results1.json,review 83
84,arif8910,5,2025-05-29 16:00,Variation: Black,,,False,Performance, 10/10,Quality, 10/10,,,results1.json,review 84
85,k1dg63em0s,5,2025-06-12 18:16,Variation: Black,,Mantap magnet casing kuat,True,,,,,,,results1.json,review 85
86,a*****7,5,2025-06-14 17:23,Variation: Blue,,PRETTYYYY✨🤌🏻,True,Quality, perfect,Performance, Luvv,,,results1.json,review 86
87,f*****x,5,2025-07-10 18:46,,Thailand,"It's good quality, worth the price, I don't buy it again. The package is very good. The headphones in the box come with a charging cable. Change the earphones. If they don't fit, that's great.",True,,,,,,,results1.json,review 87
88,a*****e,4,2025-07-12 13:52,,Philippines,"I like the sound quality and it fit well in my ears.

make sure to download the app and update the firmware.",False,,,,,,,results1.json,review 88
89,s*****1,5,2025-07-10 18:41,,Thailand,"The corner of the box is a little dented. but does not affect the use Got it during the promotion, good price. compared to the sound quality It's worth it.",True,,,,,,,results1.json,review 89
90,a*****4,5,2025-07-05 21:43,,Thailand,"Sound good
But the lighting cable can't change to type c",True,,,,,,,results1.json,review 90
91,s*****g,5,2025-06-26 14:31,,Philippines,"Day 1 June 26-2025 , So far its good.  Thank you seller.",True,,,,,,,results1.json,review 91
92,j*****a,5,2025-07-15 14:51,,Philippines,"Really worth your money. I purchased this for the sake of having a clear mic and crisp sound for online class. But it's so much better than that. The dolby atmos setting helps you achieve a better sound quality when listening or watching, or even gaming. 

The charging time is short, and the listening hours last long. The best part also is the Noise Cancelling and transparency option. In a busy cafe, I can just set my noise cancelling mode to a 5, and at work, I shift to transparency mode where I can listen to everyone while also having music being played. 

When I remove even one earbud from my ear, the device automatically detects it and pauses the song. 

It has a lot of really great features that only a buyer could experience. Very worth the money.",True,Product Quality, Durable for whatever lifestyle you have.,Performance, the earphones when accessed via Soundcore app offers a lot of personalized experience which I like.,Best Feature, Dolby Atmos and ANC feature,results1.json,review 92
93,a*****g,2,2025-06-25 09:23,,Philippines,"After using it for a week the case started to smell like burned battery,  i don't know wha't happening inside",False,,,,,,,results1.json,review 93
94,m*****l,5,2025-07-03 17:34,"Variation: BlackM,Maxi Length 103CM",,"My height : 164cm/165cm 
Weight : 67kg
Skirt (103cm): Might be suitable for anyone below 167cm, maybe? thin or thick hip or thigh both are good because the waist are very stretchy
The quality is superb. It's really hard to find this kind of linen, simple, and long maxi skirt in Malaysia. I actually cried when I got it because it's so hard to find something like this here, especially with my long legs.
The price is also great and affordable for such good quality",True,Quality, superb,Material, linen,,,results2.json,review 1
95,a*****_,5,2024-09-22 14:03,"Variation: White Bone,L-xxxl Length 92 CM",,The skirt was sooo pretty 😍 i lurve the material its so comfy to wear and the lenght just fit me nice with height 156cm ❤️ would love to purchase another colour and make it as my own collection 🥰🥰 thanks!,True,Quality, tiptop 😘,Material, cotton linen 🤏🏻,,,results2.json,review 2
96,n*****f,5,2024-10-15 17:40,"Variation: Cania Ivory,S-m Length 96CM",,"CAKEPPPPP BGT DEH 🙂‍↔️ for girls tinggi 158cm, you guys should buy this size. suka!!!! i would like to repurchase another colours 🤤😮‍💨 shipping pun laju dari indo ke malaysia. 

thank you seller! you did a great great great job. ⭐️⭐️⭐️⭐️⭐️💞

(thigh & hip tu i hentam sebab lupa ok bai)",True,Material, cotton,Quality," premium, mahal",,,results2.json,review 3
97,n*****a,5,2024-10-05 03:41,"Variation: Hazelnut,L-xxxl Length 92 CM",,It is very comfortable to wear and look very nice! The cotton material is thick too. Also it fits me nicely.,True,Quality, neat stitching work,Material, cotton,,,results2.json,review 4
98,nananaaina,5,2025-02-17 07:14,"Variation: Emerald,Maxi Length 103CM",,"kain nya bagus , saller jugak bagus , service jugak bagus ,
sumpah in love kali ama semuanya di sini 
Tinggi i 168 ✅ berat 85 ✅
sesuai 🫶🏻",True,,,,,,,results2.json,review 5
99,a*****3,5,2025-02-10 22:04,"Variation: Choco,S-m Length 96CM",,"Cantij sgt , material kain sumpah premium . Sangat berpuas hati sbb xpyh pakai kain dalam tau just pakai legging je la utk secure dr terselak kan . Harga yg sgt affordable dengan material kain mcm tu . Klo indonesia mmg quality kain sangat tiptop ya korang . Xmenyesal beli ! Happy sgt xsabar nk OOTD . Thank you jual produk yang sangat worth it .",True,,,,,,,results2.json,review 6
100,fatimahyusof91,5,2025-03-07 05:36,"Variation: Blackmm,S-m Length 88CM",,"Skirt nie memg lawa,da penah beli wrna cream ,yg hitam xtest lagi, tpi korg xnyesal beli sebb memg cantik
Bb:75kg
Tggi:155cm",True,Quality, goog,Material, linen cotton i think,,,results2.json,review 7
101,a*****_,5,2025-01-26 23:08,"Variation: White bone,S-m Length 96CM",,perfect fit just refer the measurements provided. length 96cm suits for height 160-165cm. midsize to plus size friendly as hips max 150cm. has full lining too. worth the purchase!,True,Material, cotton linen,,,,,results2.json,review 8
102,a*****k,5,2025-01-04 20:05,"Variation: Hazelnut,S-m Length 96CM",,"H: 156cm
W: 84kg

Second time purchasing! Previously bought plus size one, and it was okay and the getah was just nice. Tried this s-m size for my second purchase, and the getah pinggang is a bit more snug which I prefer. I think it's the perfect size for me. And I LOVE the pockets on each side.",True,Quality," Good quality, neat stitching",Material," Sturdy, firm yet slightly flowy linen material",,,results2.json,review 9
103,e*****s,5,2024-11-25 16:47,"Variation: Hazelnut,S-m Length 96CM",,"I love this skirt! The length, material and color semua memuaskan.

Dah beli 2-3 helai skirt from other shop that claimed it was cotton, tp bukan. Until I found and bought it here. As I expected and totally love it.",False,Material, cotton tebal,Quality, amazing,,,results2.json,review 10
104,snsscha,5,2025-01-25 20:12,"Variation: Black,S-m Length 96CM",,Everything good came with good packaging seal and wrapping. Material all goo and good condition also. Nice to wear. Please buy. High recommended. Will really again soon. Thanks seller for provide good service.,True,Quality, good,Material, Good,,,results2.json,review 11
105,s*****a,5,2025-06-19 19:55,"Variation: Choco,L-XXXL Length 92 CM",,"if you are looking to buy skirts this is definitely the right place!!! go and buy them now! guaranteed 100% the skirts are sooo niceee trust me i have 5 of them now 😭 the size and the length are perfect, the color are exactly like the photo, the quality are nice not a cheap quality and it has a full lining too! andddd they have pockets on both side! love them so much!",False,,,,,,,results2.json,review 12
106,m*****l,5,2025-05-16 22:40,"Variation: Choco,S-M Length 88CM",,"This skirt is so cute, i got lots of compliment thankiu very much👌🏾👌🏾",True,Quality, very good,Material," cotton, 2 layers",,,results2.json,review 13
107,ieqa_k,5,2025-06-22 18:43,"Variation: Hazelnut,L-XXXL Length 92 CM",,Aaaa my best purchase 😍😍😍 suka sangat2 .. selesa dan kain dia best,True,,,,,,,results2.json,review 14
108,sitinuramirahhashim,5,2024-11-12 20:23,"Variation: Blackmm,S-m Length 96CM",,i will repeat again next colour❤️❤️,True,Quality, sgt berqualityyyyy❤️,Material, cotton dan xpanas👍,,,results2.json,review 15
109,m*****y,5,2024-10-31 08:14,"Variation: Hazelnut,S-m Length 96CM",,"I was so surprised when this came,  the quality is so good, thick fabric, even has lining.",True,Material, Like wheat cotton,Quality, Thick!,,,results2.json,review 16
110,h*****y,5,2025-02-26 09:51,"Variation: Pinkish,S-m Length 88CM",,"bought twice already & love all skirts from this shop, want to repeat with another colours & design loveeeee",True,Quality, okay,Material, not sure,,,results2.json,review 17
111,f*****e,5,2024-12-05 12:17,"Variation: White bone,L-xxxl Length 92 CM",,Thrilled with the results! This product exceeded my expectations. Highly recommend!,True,Material, good,Quality, good,,,results2.json,review 18
112,nxrqistina,5,2024-12-31 16:18,"Variation: Blackmm,Maxi Length 103CM",,for reference i am 170cm and still boleh adjust the length! will repeat more colorsss!,True,Material, linen!,Quality, supeerrrrr besttt,,,results2.json,review 19
113,fatihahfouzi98,5,2024-11-12 12:09,"Variation: Emerald,S-m Length 96CM",,Kain selamat sampai..packaging selamat.. penghantaran cepat..suka sgt dengan kain ni cantikkk dan tebal..beli untuk pakai nanti dinner,True,,,,,,,results2.json,review 20
114,s*****a,5,2024-12-23 20:09,"Variation: Cania Ivory,L-xxxl Length 92 CM",,"my second purchase from this shop. everything is nice the sizing, the length, and the colour is perfect.",False,,,,,,,results2.json,review 21
115,f*****h,5,2025-07-02 16:13,"Variation: Hazelnut,S-M Length 96CM",,Penghantaran pantas. Barang sampai dalam keadaan yang baik. Thank you.,True,,,,,,,results2.json,review 22
116,a*****0,5,2025-02-23 07:05,"Variation: Emerald,S-m Length 88CM",,"Quite fast shipping, about a week reach already, havent try yet.. sorry photo and video not related",True,Material, linen,Quality, good,,,results2.json,review 23
117,i*****a,5,2025-05-15 21:02,"Variation: White Bone,L-XXXL Length 92 CM",,Sumpah cantek!!! Tolong beliiii.. nak repeat semua colour. Skirt ada lining!!! Lurve!!!,False,Material, Tebal terletak helok,Quality, Berbaloi!!,,,results2.json,review 24
